HMSL Small Mol HMS LINCS ID,HMSL Small Mol Name,Gene ID,Binding Class,HUGO Gene Symbol
10363-101,JNK-IN-8,814,10,CAMK4
10364-101,MRT67307,814,10,CAMK4
10401-101,GW2580,814,10,CAMK4
10441-101,SB202190,814,10,CAMK4
10443-101,Axitinib,814,10,CAMK4
10444-101,Cediranib,814,10,CAMK4
10445-101,Taselisib,814,10,CAMK4
10001-101,Seliciclib,815,10,CAMK2A
10002-101,ALW-II-38-3,815,10,CAMK2A
10003-101,ALW-II-49-7,815,10,CAMK2A
10004-101,AT-7519,815,10,CAMK2A
10004-102,AT-7519,815,10,CAMK2A
10004-999,AT-7519,815,10,CAMK2A
10008-101,Sorafenib,815,10,CAMK2A
10008-104,Sorafenib,815,10,CAMK2A
10008-999,Sorafenib,815,10,CAMK2A
10010-101,CP724714,815,10,CAMK2A
10011-101,Alvocidib,815,3,CAMK2A
10011-999,Alvocidib,815,3,CAMK2A
10012-101,GSK429286A,815,10,CAMK2A
10013-101,GSK461364,815,3,CAMK2A
10013-999,GSK461364,815,3,CAMK2A
10014-101,GW843682X,815,10,CAMK2A
10015-101,HG-5-113-01,815,10,CAMK2A
10017-101,HG-6-64-01,815,10,CAMK2A
10018-101,Neratinib,815,10,CAMK2A
10018-999,Neratinib,815,10,CAMK2A
10019-101,JW-7-24-1,815,10,CAMK2A
10020-101,Dasatinib,815,10,CAMK2A
10020-999,Dasatinib,815,10,CAMK2A
10021-101,Tozasertib,815,10,CAMK2A
10021-999,Tozasertib,815,10,CAMK2A
10023-103,Imatinib,815,10,CAMK2A
10023-999,Imatinib,815,10,CAMK2A
10024-101,NVP-TAE684,815,2,CAMK2A
10024-999,NVP-TAE684,815,2,CAMK2A
10025-101,CGP60474,815,10,CAMK2A
10026-101,PD173074,815,10,CAMK2A
10027-101,Crizotinib,815,10,CAMK2A
10027-999,Crizotinib,815,10,CAMK2A
10028-102,BMS345541,815,10,CAMK2A
10028-999,BMS345541,815,10,CAMK2A
10035-101,Sigma A6730,815,10,CAMK2A
10035-109,Sigma A6730,815,10,CAMK2A
10037-101,AC220,815,10,CAMK2A
10037-999,AC220,815,10,CAMK2A
10038-101,WH-4-023,815,10,CAMK2A
10039-101,WH-4-025,815,10,CAMK2A
10040-101,R406,815,3,CAMK2A
10040-999,R406,815,3,CAMK2A
10041-101,BI-2536,815,3,CAMK2A
10041-999,BI-2536,815,3,CAMK2A
10042-101,Motesanib,815,10,CAMK2A
10042-999,Motesanib,815,10,CAMK2A
10043-101,KIN001-127,815,10,CAMK2A
10046-101,SB590885,815,10,CAMK2A
10047-101,Pictilisib,815,10,CAMK2A
10047-999,Pictilisib,815,10,CAMK2A
10048-101,PD184352,815,3,CAMK2A
10048-999,PD184352,815,3,CAMK2A
10049-101,PLX-4720,815,10,CAMK2A
10049-999,PLX-4720,815,10,CAMK2A
10050-101,AZ-628,815,10,CAMK2A
10051-104,Lapatinib,815,10,CAMK2A
10051-999,Lapatinib,815,10,CAMK2A
10053-101,ZSTK474,815,10,CAMK2A
10056-101,Selumetinib,815,10,CAMK2A
10056-999,Selumetinib,815,10,CAMK2A
10058-101,CG-930,815,10,CAMK2A
10059-101,AZD-6482,815,10,CAMK2A
10060-101,TAK-715,815,10,CAMK2A
10061-101,NU7441,815,10,CAMK2A
10064-101,WYE-125132,815,10,CAMK2A
10066-101,MLN8054,815,10,CAMK2A
10066-999,MLN8054,815,10,CAMK2A
10067-101,Barasertib,815,10,CAMK2A
10067-999,Barasertib,815,10,CAMK2A
10068-101,Vemurafenib,815,10,CAMK2A
10069-101,Enzastaurin,815,10,CAMK2A
10069-999,Enzastaurin,815,10,CAMK2A
10071-101,Palbociclib,815,3,CAMK2A
10071-102,Palbociclib,815,3,CAMK2A
10072-101,PF562271,815,3,CAMK2A
10076-101,QL-XI-92,815,10,CAMK2A
10079-101,Torin1,815,10,CAMK2A
10080-101,Torin2,815,10,CAMK2A
10082-101,WZ-4-145,815,10,CAMK2A
10083-101,WZ-7043,815,10,CAMK2A
10085-101,WZ4002,815,10,CAMK2A
10087-101,XMD11-85h,815,10,CAMK2A
10088-101,XMD13-2,815,10,CAMK2A
10092-101,JWE-035,815,10,CAMK2A
10094-101,XMD8-92,815,10,CAMK2A
10096-101,ZM-447439,815,3,CAMK2A
10097-101,Erlotinib,815,10,CAMK2A
10097-102,Erlotinib,815,10,CAMK2A
10097-999,Erlotinib,815,10,CAMK2A
10098-101,Gefitinib,815,3,CAMK2A
10098-999,Gefitinib,815,3,CAMK2A
10099-101,Nilotinib,815,10,CAMK2A
10099-999,Nilotinib,815,10,CAMK2A
10101-101,PD0325901,815,10,CAMK2A
10103-101,Staurosporine,815,1,CAMK2A
10103-999,Staurosporine,815,1,CAMK2A
10105-101,MPS-1-IN-1,815,10,CAMK2A
10114-101,Pazopanib,815,10,CAMK2A
10114-102,Pazopanib,815,10,CAMK2A
10114-999,Pazopanib,815,10,CAMK2A
10120-102,Canertinib,815,10,CAMK2A
10120-999,Canertinib,815,10,CAMK2A
10123-101,SGX523,815,10,CAMK2A
10123-999,SGX523,815,10,CAMK2A
10125-101,PHA-665752,815,3,CAMK2A
10125-999,PHA-665752,815,3,CAMK2A
10126-101,PI103,815,10,CAMK2A
10126-102,PI103,815,10,CAMK2A
10126-999,PI103,815,10,CAMK2A
10128-101,GSK 690693,815,10,CAMK2A
10128-999,GSK 690693,815,10,CAMK2A
10129-101,Ibrutinib,815,10,CAMK2A
10130-101,Masitinib,815,10,CAMK2A
10130-999,Masitinib,815,10,CAMK2A
10132-101,SNS-032,815,10,CAMK2A
10132-999,SNS-032,815,10,CAMK2A
10133-101,Afatinib,815,10,CAMK2A
10133-999,Afatinib,815,10,CAMK2A
10138-101,Ruxolitinib,815,1,CAMK2A
10138-105,Ruxolitinib,815,1,CAMK2A
10138-999,Ruxolitinib,815,1,CAMK2A
10141-101,Fedratinib,815,2,CAMK2A
10141-999,Fedratinib,815,2,CAMK2A
10147-101,Buparlisib,815,10,CAMK2A
10151-101,Nintedanib,815,3,CAMK2A
10151-999,Nintedanib,815,3,CAMK2A
10152-101,MK 1775,815,3,CAMK2A
10157-101,Foretinib,815,10,CAMK2A
10157-999,Foretinib,815,10,CAMK2A
10159-101,Pelitinib,815,10,CAMK2A
10162-101,SP600125,815,10,CAMK2A
10165-101,PF04217903,815,3,CAMK2A
10167-101,SB 203580,815,10,CAMK2A
10167-999,SB 203580,815,10,CAMK2A
10168-101,VX-745,815,10,CAMK2A
10168-999,VX-745,815,10,CAMK2A
10169-101,Doramapimod,815,10,CAMK2A
10169-999,Doramapimod,815,10,CAMK2A
10171-101,TGX221,815,10,CAMK2A
10175-101,Sunitinib,815,1,CAMK2A
10175-106,Sunitinib,815,1,CAMK2A
10175-999,Sunitinib,815,1,CAMK2A
10176-101,Y-27632,815,3,CAMK2A
10177-101,Brivanib,815,10,CAMK2A
10177-999,Brivanib,815,10,CAMK2A
10181-101,GDC-0879,815,10,CAMK2A
10181-999,GDC-0879,815,10,CAMK2A
10182-101,Linifanib,815,10,CAMK2A
10182-999,Linifanib,815,10,CAMK2A
10189-101,Bosutinib,815,3,CAMK2A
10189-999,Bosutinib,815,3,CAMK2A
10192-101,KW2449,815,3,CAMK2A
10192-999,KW2449,815,3,CAMK2A
10198-101,Vandetanib,815,10,CAMK2A
10198-999,Vandetanib,815,10,CAMK2A
10206-101,RAF 265,815,10,CAMK2A
10206-999,RAF 265,815,10,CAMK2A
10207-101,NVP-TAE226,815,3,CAMK2A
10208-101,JNK-IN-5A,815,10,CAMK2A
10212-101,KIN001-021,815,10,CAMK2A
10213-101,KIN001-111,815,10,CAMK2A
10214-101,KIN001-123,815,10,CAMK2A
10216-101,KN-93,815,2,CAMK2A
10220-101,PKC412,815,1,CAMK2A
10220-999,PKC412,815,1,CAMK2A
10226-101,Tofacitinib,815,3,CAMK2A
10226-108,Tofacitinib,815,3,CAMK2A
10226-999,Tofacitinib,815,3,CAMK2A
10229-101,KU63794,815,10,CAMK2A
10230-101,Lestaurtinib,815,1,CAMK2A
10230-999,Lestaurtinib,815,1,CAMK2A
10232-101,Dactolisib,815,3,CAMK2A
10233-101,Alpelisib,815,10,CAMK2A
10255-101,GSK1838705A,815,10,CAMK2A
10255-999,GSK1838705A,815,10,CAMK2A
10285-101,PHA-767491,815,3,CAMK2A
10287-101,Dinaciclib,815,10,CAMK2A
10337-102,OTSSP167,815,10,CAMK2A
10340-101,HG-9-91-01,815,10,CAMK2A
10350-101,(s)-CR8,815,10,CAMK2A
10354-101,Baricitinib,815,2,CAMK2A
10356-101,5z-7-oxozeaenol,815,10,CAMK2A
10363-101,JNK-IN-8,815,10,CAMK2A
10378-101,LY2090314,815,10,CAMK2A
10385-101,S-Ruxolitinib,815,2,CAMK2A
10391-101,Alisertib,815,3,CAMK2A
10401-101,GW2580,815,10,CAMK2A
10408-101,Sotrastaurin,815,3,CAMK2A
10412-101,KN62,815,2,CAMK2A
10426-101,Barasertib,815,3,CAMK2A
10441-101,SB202190,815,3,CAMK2A
10443-101,Axitinib,815,3,CAMK2A
10444-101,Cediranib,815,3,CAMK2A
10445-101,Taselisib,815,10,CAMK2A
10454-101,Staurosporine aglycone,815,2,CAMK2A
10001-101,Seliciclib,816,10,CAMK2B
10002-101,ALW-II-38-3,816,10,CAMK2B
10003-101,ALW-II-49-7,816,10,CAMK2B
10004-101,AT-7519,816,10,CAMK2B
10004-102,AT-7519,816,10,CAMK2B
10004-999,AT-7519,816,10,CAMK2B
10008-101,Sorafenib,816,10,CAMK2B
10008-104,Sorafenib,816,10,CAMK2B
10008-999,Sorafenib,816,10,CAMK2B
10010-101,CP724714,816,10,CAMK2B
10011-101,Alvocidib,816,3,CAMK2B
10011-999,Alvocidib,816,3,CAMK2B
10012-101,GSK429286A,816,10,CAMK2B
10013-101,GSK461364,816,3,CAMK2B
10013-999,GSK461364,816,3,CAMK2B
10014-101,GW843682X,816,3,CAMK2B
10015-101,HG-5-113-01,816,10,CAMK2B
10016-101,HG-5-88-01,816,10,CAMK2B
10017-101,HG-6-64-01,816,10,CAMK2B
10018-101,Neratinib,816,10,CAMK2B
10018-999,Neratinib,816,10,CAMK2B
10019-101,JW-7-24-1,816,10,CAMK2B
10020-101,Dasatinib,816,10,CAMK2B
10020-999,Dasatinib,816,10,CAMK2B
10021-101,Tozasertib,816,10,CAMK2B
10021-999,Tozasertib,816,10,CAMK2B
10023-103,Imatinib,816,10,CAMK2B
10023-999,Imatinib,816,10,CAMK2B
10024-101,NVP-TAE684,816,3,CAMK2B
10024-999,NVP-TAE684,816,3,CAMK2B
10025-101,CGP60474,816,10,CAMK2B
10026-101,PD173074,816,10,CAMK2B
10027-101,Crizotinib,816,10,CAMK2B
10027-999,Crizotinib,816,10,CAMK2B
10028-102,BMS345541,816,10,CAMK2B
10028-999,BMS345541,816,10,CAMK2B
10035-101,Sigma A6730,816,10,CAMK2B
10035-109,Sigma A6730,816,10,CAMK2B
10036-101,SB 239063,816,3,CAMK2B
10037-101,AC220,816,10,CAMK2B
10037-999,AC220,816,10,CAMK2B
10038-101,WH-4-023,816,10,CAMK2B
10039-101,WH-4-025,816,10,CAMK2B
10040-101,R406,816,3,CAMK2B
10040-999,R406,816,3,CAMK2B
10041-101,BI-2536,816,3,CAMK2B
10041-999,BI-2536,816,3,CAMK2B
10042-101,Motesanib,816,10,CAMK2B
10042-999,Motesanib,816,10,CAMK2B
10043-101,KIN001-127,816,10,CAMK2B
10046-101,SB590885,816,10,CAMK2B
10047-101,Pictilisib,816,10,CAMK2B
10047-999,Pictilisib,816,10,CAMK2B
10048-101,PD184352,816,10,CAMK2B
10048-999,PD184352,816,10,CAMK2B
10049-101,PLX-4720,816,10,CAMK2B
10049-999,PLX-4720,816,10,CAMK2B
10050-101,AZ-628,816,10,CAMK2B
10051-104,Lapatinib,816,10,CAMK2B
10051-999,Lapatinib,816,10,CAMK2B
10053-101,ZSTK474,816,10,CAMK2B
10056-101,Selumetinib,816,10,CAMK2B
10056-999,Selumetinib,816,10,CAMK2B
10058-101,CG-930,816,10,CAMK2B
10059-101,AZD-6482,816,10,CAMK2B
10060-101,TAK-715,816,3,CAMK2B
10061-101,NU7441,816,10,CAMK2B
10064-101,WYE-125132,816,10,CAMK2B
10066-101,MLN8054,816,10,CAMK2B
10066-999,MLN8054,816,10,CAMK2B
10067-101,Barasertib,816,10,CAMK2B
10067-999,Barasertib,816,10,CAMK2B
10068-101,Vemurafenib,816,10,CAMK2B
10069-101,Enzastaurin,816,10,CAMK2B
10069-999,Enzastaurin,816,10,CAMK2B
10070-101,NPK76-II-72-1,816,10,CAMK2B
10072-101,PF562271,816,3,CAMK2B
10076-101,QL-XI-92,816,10,CAMK2B
10079-101,Torin1,816,10,CAMK2B
10080-101,Torin2,816,10,CAMK2B
10082-101,WZ-4-145,816,10,CAMK2B
10083-101,WZ-7043,816,10,CAMK2B
10084-101,WZ3105,816,10,CAMK2B
10085-101,WZ4002,816,10,CAMK2B
10087-101,XMD11-85h,816,10,CAMK2B
10088-101,XMD13-2,816,10,CAMK2B
10090-101,XMD15-27,816,2,CAMK2B
10093-101,XMD8-85,816,10,CAMK2B
10094-101,XMD8-92,816,10,CAMK2B
10096-101,ZM-447439,816,10,CAMK2B
10097-101,Erlotinib,816,10,CAMK2B
10097-102,Erlotinib,816,10,CAMK2B
10097-999,Erlotinib,816,10,CAMK2B
10098-101,Gefitinib,816,3,CAMK2B
10098-999,Gefitinib,816,3,CAMK2B
10099-101,Nilotinib,816,10,CAMK2B
10099-999,Nilotinib,816,10,CAMK2B
10101-101,PD0325901,816,10,CAMK2B
10103-101,Staurosporine,816,1,CAMK2B
10103-999,Staurosporine,816,1,CAMK2B
10105-101,MPS-1-IN-1,816,10,CAMK2B
10106-101,XMD-12,816,10,CAMK2B
10114-101,Pazopanib,816,10,CAMK2B
10114-102,Pazopanib,816,10,CAMK2B
10114-999,Pazopanib,816,10,CAMK2B
10120-102,Canertinib,816,10,CAMK2B
10120-999,Canertinib,816,10,CAMK2B
10123-101,SGX523,816,10,CAMK2B
10123-999,SGX523,816,10,CAMK2B
10125-101,PHA-665752,816,10,CAMK2B
10125-999,PHA-665752,816,10,CAMK2B
10126-101,PI103,816,10,CAMK2B
10126-102,PI103,816,10,CAMK2B
10126-999,PI103,816,10,CAMK2B
10128-101,GSK 690693,816,10,CAMK2B
10128-999,GSK 690693,816,10,CAMK2B
10129-101,Ibrutinib,816,10,CAMK2B
10130-101,Masitinib,816,10,CAMK2B
10130-999,Masitinib,816,10,CAMK2B
10132-101,SNS-032,816,10,CAMK2B
10132-999,SNS-032,816,10,CAMK2B
10133-101,Afatinib,816,10,CAMK2B
10133-999,Afatinib,816,10,CAMK2B
10135-101,Linsitinib,816,3,CAMK2B
10138-101,Ruxolitinib,816,2,CAMK2B
10138-105,Ruxolitinib,816,2,CAMK2B
10138-999,Ruxolitinib,816,2,CAMK2B
10141-101,Fedratinib,816,3,CAMK2B
10141-999,Fedratinib,816,3,CAMK2B
10146-101,Omipalisib,816,10,CAMK2B
10147-101,Buparlisib,816,10,CAMK2B
10151-101,Nintedanib,816,10,CAMK2B
10151-999,Nintedanib,816,10,CAMK2B
10157-101,Foretinib,816,10,CAMK2B
10157-999,Foretinib,816,10,CAMK2B
10159-101,Pelitinib,816,10,CAMK2B
10162-101,SP600125,816,10,CAMK2B
10166-101,BAY61-3606,816,3,CAMK2B
10166-107,BAY61-3606,816,3,CAMK2B
10167-101,SB 203580,816,10,CAMK2B
10167-999,SB 203580,816,10,CAMK2B
10168-101,VX-745,816,10,CAMK2B
10168-999,VX-745,816,10,CAMK2B
10169-101,Doramapimod,816,10,CAMK2B
10169-999,Doramapimod,816,10,CAMK2B
10171-101,TGX221,816,10,CAMK2B
10175-101,Sunitinib,816,3,CAMK2B
10175-106,Sunitinib,816,3,CAMK2B
10175-999,Sunitinib,816,3,CAMK2B
10176-101,Y-27632,816,3,CAMK2B
10177-101,Brivanib,816,10,CAMK2B
10177-999,Brivanib,816,10,CAMK2B
10180-101,CHIR-99021,816,3,CAMK2B
10181-101,GDC-0879,816,10,CAMK2B
10181-999,GDC-0879,816,10,CAMK2B
10182-101,Linifanib,816,10,CAMK2B
10182-999,Linifanib,816,10,CAMK2B
10183-101,BGJ398,816,10,CAMK2B
10189-101,Bosutinib,816,10,CAMK2B
10189-999,Bosutinib,816,10,CAMK2B
10192-101,KW2449,816,10,CAMK2B
10192-999,KW2449,816,10,CAMK2B
10198-101,Vandetanib,816,10,CAMK2B
10198-999,Vandetanib,816,10,CAMK2B
10206-101,RAF 265,816,10,CAMK2B
10206-999,RAF 265,816,10,CAMK2B
10207-101,NVP-TAE226,816,3,CAMK2B
10208-101,JNK-IN-5A,816,10,CAMK2B
10209-101,BMS-536924,816,10,CAMK2B
10212-101,KIN001-021,816,10,CAMK2B
10213-101,KIN001-111,816,10,CAMK2B
10214-101,KIN001-123,816,10,CAMK2B
10216-101,KN-93,816,2,CAMK2B
10220-101,PKC412,816,2,CAMK2B
10220-999,PKC412,816,2,CAMK2B
10223-101,AG1478,816,10,CAMK2B
10226-101,Tofacitinib,816,10,CAMK2B
10226-108,Tofacitinib,816,10,CAMK2B
10226-999,Tofacitinib,816,10,CAMK2B
10229-101,KU63794,816,10,CAMK2B
10230-101,Lestaurtinib,816,1,CAMK2B
10230-999,Lestaurtinib,816,1,CAMK2B
10232-101,Dactolisib,816,10,CAMK2B
10233-101,Alpelisib,816,10,CAMK2B
10255-101,GSK1838705A,816,10,CAMK2B
10255-999,GSK1838705A,816,10,CAMK2B
10284-101,Dabrafenib,816,10,CAMK2B
10285-101,PHA-767491,816,3,CAMK2B
10286-102,BS-181,816,10,CAMK2B
10287-101,Dinaciclib,816,10,CAMK2B
10337-102,OTSSP167,816,10,CAMK2B
10340-101,HG-9-91-01,816,10,CAMK2B
10350-101,(s)-CR8,816,10,CAMK2B
10355-101,CGP74514A,816,10,CAMK2B
10356-101,5z-7-oxozeaenol,816,10,CAMK2B
10363-101,JNK-IN-8,816,10,CAMK2B
10378-101,LY2090314,816,10,CAMK2B
10391-101,Alisertib,816,3,CAMK2B
10401-101,GW2580,816,10,CAMK2B
10405-101,PP1,816,3,CAMK2B
10408-101,Sotrastaurin,816,3,CAMK2B
10412-101,KN62,816,2,CAMK2B
10441-101,SB202190,816,10,CAMK2B
10443-101,Axitinib,816,3,CAMK2B
10444-101,Cediranib,816,3,CAMK2B
10445-101,Taselisib,816,10,CAMK2B
10454-101,Staurosporine aglycone,816,2,CAMK2B
10001-101,Seliciclib,817,10,CAMK2D
10002-101,ALW-II-38-3,817,10,CAMK2D
10003-101,ALW-II-49-7,817,10,CAMK2D
10004-101,AT-7519,817,10,CAMK2D
10004-102,AT-7519,817,10,CAMK2D
10004-999,AT-7519,817,10,CAMK2D
10008-101,Sorafenib,817,10,CAMK2D
10008-104,Sorafenib,817,10,CAMK2D
10008-999,Sorafenib,817,10,CAMK2D
10010-101,CP724714,817,10,CAMK2D
10011-101,Alvocidib,817,3,CAMK2D
10011-999,Alvocidib,817,3,CAMK2D
10012-101,GSK429286A,817,10,CAMK2D
10013-101,GSK461364,817,2,CAMK2D
10013-999,GSK461364,817,2,CAMK2D
10014-101,GW843682X,817,3,CAMK2D
10015-101,HG-5-113-01,817,10,CAMK2D
10016-101,HG-5-88-01,817,10,CAMK2D
10017-101,HG-6-64-01,817,10,CAMK2D
10018-101,Neratinib,817,10,CAMK2D
10018-999,Neratinib,817,10,CAMK2D
10019-101,JW-7-24-1,817,10,CAMK2D
10020-101,Dasatinib,817,10,CAMK2D
10020-999,Dasatinib,817,10,CAMK2D
10021-101,Tozasertib,817,10,CAMK2D
10021-999,Tozasertib,817,10,CAMK2D
10023-103,Imatinib,817,10,CAMK2D
10023-999,Imatinib,817,10,CAMK2D
10024-101,NVP-TAE684,817,2,CAMK2D
10024-999,NVP-TAE684,817,2,CAMK2D
10025-101,CGP60474,817,10,CAMK2D
10026-101,PD173074,817,10,CAMK2D
10027-101,Crizotinib,817,10,CAMK2D
10027-999,Crizotinib,817,10,CAMK2D
10028-102,BMS345541,817,10,CAMK2D
10028-999,BMS345541,817,10,CAMK2D
10035-101,Sigma A6730,817,10,CAMK2D
10035-109,Sigma A6730,817,10,CAMK2D
10036-101,SB 239063,817,3,CAMK2D
10037-101,AC220,817,10,CAMK2D
10037-999,AC220,817,10,CAMK2D
10038-101,WH-4-023,817,10,CAMK2D
10039-101,WH-4-025,817,10,CAMK2D
10040-101,R406,817,3,CAMK2D
10040-999,R406,817,3,CAMK2D
10041-101,BI-2536,817,3,CAMK2D
10041-999,BI-2536,817,3,CAMK2D
10042-101,Motesanib,817,10,CAMK2D
10042-999,Motesanib,817,10,CAMK2D
10043-101,KIN001-127,817,10,CAMK2D
10046-101,SB590885,817,10,CAMK2D
10047-101,Pictilisib,817,10,CAMK2D
10047-999,Pictilisib,817,10,CAMK2D
10048-101,PD184352,817,10,CAMK2D
10048-999,PD184352,817,10,CAMK2D
10049-101,PLX-4720,817,10,CAMK2D
10049-999,PLX-4720,817,10,CAMK2D
10050-101,AZ-628,817,10,CAMK2D
10051-104,Lapatinib,817,10,CAMK2D
10051-999,Lapatinib,817,10,CAMK2D
10053-101,ZSTK474,817,10,CAMK2D
10056-101,Selumetinib,817,10,CAMK2D
10056-999,Selumetinib,817,10,CAMK2D
10058-101,CG-930,817,10,CAMK2D
10059-101,AZD-6482,817,10,CAMK2D
10060-101,TAK-715,817,3,CAMK2D
10061-101,NU7441,817,10,CAMK2D
10064-101,WYE-125132,817,10,CAMK2D
10066-101,MLN8054,817,10,CAMK2D
10066-999,MLN8054,817,10,CAMK2D
10067-101,Barasertib,817,10,CAMK2D
10067-999,Barasertib,817,10,CAMK2D
10068-101,Vemurafenib,817,10,CAMK2D
10069-101,Enzastaurin,817,3,CAMK2D
10069-999,Enzastaurin,817,3,CAMK2D
10070-101,NPK76-II-72-1,817,10,CAMK2D
10072-101,PF562271,817,3,CAMK2D
10073-101,PHA-793887,817,10,CAMK2D
10076-101,QL-XI-92,817,10,CAMK2D
10080-101,Torin2,817,10,CAMK2D
10082-101,WZ-4-145,817,10,CAMK2D
10083-101,WZ-7043,817,10,CAMK2D
10085-101,WZ4002,817,10,CAMK2D
10087-101,XMD11-85h,817,10,CAMK2D
10088-101,XMD13-2,817,10,CAMK2D
10094-101,XMD8-92,817,10,CAMK2D
10096-101,ZM-447439,817,10,CAMK2D
10097-101,Erlotinib,817,3,CAMK2D
10097-102,Erlotinib,817,3,CAMK2D
10097-999,Erlotinib,817,3,CAMK2D
10098-101,Gefitinib,817,3,CAMK2D
10098-999,Gefitinib,817,3,CAMK2D
10099-101,Nilotinib,817,10,CAMK2D
10099-999,Nilotinib,817,10,CAMK2D
10101-101,PD0325901,817,10,CAMK2D
10103-101,Staurosporine,817,1,CAMK2D
10103-999,Staurosporine,817,1,CAMK2D
10105-101,MPS-1-IN-1,817,10,CAMK2D
10114-101,Pazopanib,817,10,CAMK2D
10114-102,Pazopanib,817,10,CAMK2D
10114-999,Pazopanib,817,10,CAMK2D
10120-102,Canertinib,817,10,CAMK2D
10120-999,Canertinib,817,10,CAMK2D
10123-101,SGX523,817,10,CAMK2D
10123-999,SGX523,817,10,CAMK2D
10125-101,PHA-665752,817,3,CAMK2D
10125-999,PHA-665752,817,3,CAMK2D
10126-101,PI103,817,10,CAMK2D
10126-102,PI103,817,10,CAMK2D
10126-999,PI103,817,10,CAMK2D
10128-101,GSK 690693,817,10,CAMK2D
10128-999,GSK 690693,817,10,CAMK2D
10130-101,Masitinib,817,10,CAMK2D
10130-999,Masitinib,817,10,CAMK2D
10132-101,SNS-032,817,10,CAMK2D
10132-999,SNS-032,817,10,CAMK2D
10133-101,Afatinib,817,10,CAMK2D
10133-999,Afatinib,817,10,CAMK2D
10135-101,Linsitinib,817,3,CAMK2D
10138-101,Ruxolitinib,817,1,CAMK2D
10138-105,Ruxolitinib,817,1,CAMK2D
10138-999,Ruxolitinib,817,1,CAMK2D
10141-101,Fedratinib,817,2,CAMK2D
10141-999,Fedratinib,817,2,CAMK2D
10146-101,Omipalisib,817,10,CAMK2D
10147-101,Buparlisib,817,10,CAMK2D
10151-101,Nintedanib,817,10,CAMK2D
10151-999,Nintedanib,817,10,CAMK2D
10157-101,Foretinib,817,10,CAMK2D
10157-999,Foretinib,817,10,CAMK2D
10159-101,Pelitinib,817,10,CAMK2D
10162-101,SP600125,817,10,CAMK2D
10166-101,BAY61-3606,817,3,CAMK2D
10166-107,BAY61-3606,817,3,CAMK2D
10167-101,SB 203580,817,10,CAMK2D
10167-999,SB 203580,817,10,CAMK2D
10168-101,VX-745,817,10,CAMK2D
10168-999,VX-745,817,10,CAMK2D
10169-101,Doramapimod,817,10,CAMK2D
10169-999,Doramapimod,817,10,CAMK2D
10171-101,TGX221,817,10,CAMK2D
10175-101,Sunitinib,817,2,CAMK2D
10175-106,Sunitinib,817,2,CAMK2D
10175-999,Sunitinib,817,2,CAMK2D
10176-101,Y-27632,817,3,CAMK2D
10177-101,Brivanib,817,10,CAMK2D
10177-999,Brivanib,817,10,CAMK2D
10180-101,CHIR-99021,817,3,CAMK2D
10181-101,GDC-0879,817,10,CAMK2D
10181-999,GDC-0879,817,10,CAMK2D
10182-101,Linifanib,817,10,CAMK2D
10182-999,Linifanib,817,10,CAMK2D
10189-101,Bosutinib,817,10,CAMK2D
10189-999,Bosutinib,817,10,CAMK2D
10192-101,KW2449,817,10,CAMK2D
10192-999,KW2449,817,10,CAMK2D
10198-101,Vandetanib,817,10,CAMK2D
10198-999,Vandetanib,817,10,CAMK2D
10206-101,RAF 265,817,10,CAMK2D
10206-999,RAF 265,817,10,CAMK2D
10207-101,NVP-TAE226,817,2,CAMK2D
10208-101,JNK-IN-5A,817,10,CAMK2D
10209-101,BMS-536924,817,10,CAMK2D
10212-101,KIN001-021,817,10,CAMK2D
10213-101,KIN001-111,817,10,CAMK2D
10214-101,KIN001-123,817,10,CAMK2D
10216-101,KN-93,817,2,CAMK2D
10220-101,PKC412,817,1,CAMK2D
10220-999,PKC412,817,1,CAMK2D
10226-101,Tofacitinib,817,3,CAMK2D
10226-108,Tofacitinib,817,3,CAMK2D
10226-999,Tofacitinib,817,3,CAMK2D
10229-101,KU63794,817,10,CAMK2D
10230-101,Lestaurtinib,817,1,CAMK2D
10230-999,Lestaurtinib,817,1,CAMK2D
10232-101,Dactolisib,817,10,CAMK2D
10233-101,Alpelisib,817,10,CAMK2D
10255-101,GSK1838705A,817,10,CAMK2D
10255-999,GSK1838705A,817,10,CAMK2D
10284-101,Dabrafenib,817,10,CAMK2D
10285-101,PHA-767491,817,3,CAMK2D
10286-102,BS-181,817,10,CAMK2D
10287-101,Dinaciclib,817,10,CAMK2D
10340-101,HG-9-91-01,817,10,CAMK2D
10350-101,(s)-CR8,817,10,CAMK2D
10355-101,CGP74514A,817,10,CAMK2D
10356-101,5z-7-oxozeaenol,817,10,CAMK2D
10363-101,JNK-IN-8,817,10,CAMK2D
10378-101,LY2090314,817,10,CAMK2D
10391-101,Alisertib,817,3,CAMK2D
10401-101,GW2580,817,10,CAMK2D
10405-101,PP1,817,3,CAMK2D
10408-101,Sotrastaurin,817,1,CAMK2D
10412-101,KN62,817,2,CAMK2D
10441-101,SB202190,817,10,CAMK2D
10443-101,Axitinib,817,3,CAMK2D
10444-101,Cediranib,817,3,CAMK2D
10445-101,Taselisib,817,10,CAMK2D
10454-101,Staurosporine aglycone,817,2,CAMK2D
10001-101,Seliciclib,818,10,CAMK2G
10002-101,ALW-II-38-3,818,10,CAMK2G
10003-101,ALW-II-49-7,818,10,CAMK2G
10004-101,AT-7519,818,10,CAMK2G
